
═══ PROSA: tests/fixtures/prose/ladder/r340.txt — 338 parole (piolo 0) ═══
    Charcoal is a lightweight black residue made of carbon that is produced by strongly heating 
    wood (or other animal and plant materials) in minimal oxygen to remove all water and volatile 
    constituents. In the traditional version of this pyrolysis process, called charcoal burning, 
    often by forming a charcoal kiln, the heat is supplied by burning part of the starting material 
    itself, with a limited supply of oxygen. The material can also be heated in a closed retort. 
    Modern charcoal briquettes used for outdoor cooking may contain many other additives, e.g. 
    coal. Charcoal has diverse applications, including as various fuels such as industrial fuel, 
    cooking and heating fuels, and metallurgical fuel in iron and steel production, as well as a 
    reducing agent in chemical processes, and as a raw material in pyrotechnics. It is also 
    utilized in cosmetics, horticulture, animal husbandry, medicine using activated charcoal, and 
    environmental sustainability efforts, such as carbon sequestration. The early history of wood 
    charcoal production spans ancient times, rooted in the abundance of wood in various regions. 
    The process typically involves stacking wood billets to form a conical pile, allowing air to 
    enter through openings at the bottom, and igniting the pile gradually. Charcoal burners, 
    skilled professionals tasked with managing the delicate operation, often lived in isolation to 
    tend their wood piles. Throughout history, the extensive production of charcoal has been a 
    significant contributor to deforestation, particularly in regions like Central Europe. However, 
    various management practices, such as coppicing, aimed to maintain a steady supply of wood for 
    charcoal production. The scarcity of easily accessible wood resources eventually led to the 
    transition to fossil fuel equivalents like coal. Modern methods of charcoal production involve 
    carbonizing wood in retorts, yielding higher efficiencies compared to traditional kilning 
    methods. The properties of charcoal depend on factors such as the material charred and the 
    temperature of carbonization. The production and utilization of charcoal can have adverse 
    environmental impacts such as deforestation and emissions. Illegal and unregulated charcoal 
    production is particularly prevalent in regions like South America and Africa.

(passo 1 saltato: P0_PROBE_STEP2=1)

─── PASSO 2 · legge tutta la prosa, poi risponde. La risposta E' nel testo ───

  banco: 65 domande nel merito, 450 parole per 338 di testo (margine 1.25: ok).

  DOMANDA                            SPECIE     ESITO  RISPOSTA
  ────────────────────────────────────────────────────────────────────────────────
  what is charcoal?                  merito     ✓    Charcoal is classed as lightweight black residue.
  what is charcoal made of?          merito     ✓    Carbon.
  what does charcoal have?           merito     ·     I don't understand that yet.
  what do the properties of charco   merito     ·     Ask me whether something holds first — then I can tell you w
  what does modern charcoal contai   merito     ·     Hmm, I don't know about contain yet. Want me to learn about it
  what can the material be heated    merito     ·     Hmm, I don't know about heated yet. Want me to learn about it?
  what supplies the heat?            merito     ·     Hmm, I don't know about supplies yet. Want me to learn about i
  what is charcoal utilized in?      merito     ·     I looked up «supplies» but found nothing. If you know it, te
  what does the process involve?     merito     ✓    Stacking wood billets.
  what did charcoal production con   merito     ·     I don't know: nothing I hold says charcoal production contribu
  what did the scarcity of wood le   merito     ·     I don't know: nothing I hold says scarcity of wood lead to, an
  what do modern methods involve?    merito     ·     Hmm, I don't know about methods yet. Want me to learn about it
  what did management practices ai   merito     ·     Hmm, I don't know about management yet. Want me to learn about
  what kind of residue is charcoal   merito     ✓    charcoal is classed as lightweight black residue.
  what is charcoal produced by?      merito     ·     I don't know: nothing I hold says charcoal produced from by, a
  what is heated to produce charco   merito     ·     Hmm, I don't know about heated yet.
  in what is wood heated to produc   merito     ·     I'm not sure I followed. Can you say it another way?
  what does heating wood in minima   merito     ·     Hmm, I don't know about heating yet. Want me to learn about it
  what is removed from the wood?     merito     ·     Hmm, I don't know about removed yet. Want me to learn about it
  what other materials can be heat   merito     ·     Hmm, I don't know about materials yet. Want me to learn about 
  what is the traditional version    merito     ·     Hmm, I don't know about traditional_version yet.
  what is charcoal burning?          merito     ·     I don't know much about charcoal burning yet, and the network 
  what is often formed in charcoal   merito     ·     charcoal is a lightweight black residue.
  what is the heat supplied by in    merito     ·     Hmm, I don't know about heat supplied yet. Want me to learn ab
  with what supply of oxygen is th   merito     ·     Hmm, I don't know about heat_supplied yet.
  how can the material also be hea   merito     ·     I have no rule that would make anything a heated, so I can't s
  what are modern charcoal briquet   merito     ·     I don't know: nothing I hold says modern charcoal briquettes u
  what may modern charcoal briquet   merito     ·     Hmm, I don't know about briquettes yet. Want me to learn about
  what is an example of an additiv   merito     ·     Hmm, I don't know about additive yet. Want me to learn about i
  what are the applications of cha   merito     ·     I don't know about applications.
  what fuels does charcoal serve a   merito     ·     I don't understand that yet.
  what is metallurgical fuel used    merito     ·     I don't know: nothing I hold says metallurgical fuel used in, 
  what is charcoal used as in chem   merito     ·     On charcoal used as in chemical, a causal account turns on the
  what is charcoal a raw material    merito     ·     I don't know much about charcoal a raw material yet, and the n
  what is charcoal utilized in bes   merito     ·     charcoal is a lightweight black residue.
  what kind of charcoal is used in   merito     ·     I don't understand that yet.
  what is an example of an environ   merito     ·     I can't show that.
  what does the early history of w   merito     ·     Hmm, I don't know about early history yet. Want me to learn ab
  what is the early history of cha   merito     ·     Hmm, I don't know about early_history yet.
  what are wood billets stacked to   merito     ·     I don't know: nothing I hold says wood billets stack to form, 
  where does air enter the pile?     merito     ·     I don't understand that yet.
  how is the pile ignited?           merito     ·     Hmm, I don't know about ignited yet. Want me to learn about it
  who were charcoal burners?         merito     ·     Hmm, I don't know about burners yet. Want me to learn about it
  what were charcoal burners taske   merito     ·     Hmm, I don't know about burners yet.
  where did charcoal burners often   merito     ·     I didn't quite catch that. What would you like to know?
  why did charcoal burners live in   merito     ·     I don't know: nothing I hold says charcoal burners habitat iso
  what has the extensive productio   merito     ·     Hmm, I don't know about extensive_production yet.
  in which regions did charcoal pr   merito     ·     america, africa.
  what is an example of a manageme   merito     ·     I can't show that.
  what did coppicing aim to mainta   merito     ·     Hmm, I don't know about maintain yet. Want me to learn about i
  what are fossil fuel equivalents   merito     ·     I don't know much about fossil fuel equivalents like yet, and 
  where is wood carbonized in mode   merito     ·     On wood carbonized in modern, a sound investigation turns on t
  what do modern methods yield?      merito     ·     Hmm, I don't know about methods yet.
  what are modern methods compared   merito     ·     Hmm, that's a bit beyond me right now.
  what factors do the properties o   merito     ·     Ask me whether something holds first — then I can tell you w
  what can the production of charc   merito     ·     Hmm, I don't know about production yet. Want me to learn about
  what are examples of adverse env   merito     ·     Hmm, I don't know about adverse yet. Want me to learn about it
  where is illegal charcoal produc   merito     ·     I don't know: I understood «where is», but I am missing the 
  what kind of charcoal production   merito     ·     Hmm, I don't know about production yet.
