dialogue	turn	family	language	expected_move	depth	variation	critical	prompt
gd1_001	1	F01_phatic	it	ack	0	casual_open	ci_sei	Ehi, ci sei?
gd1_001	2	F01_phatic	it	continue	0	low_energy	giornata_pesante	Oggi giornata pesantina, zero drammi però.
gd1_001	3	F01_phatic	it	continue	1	topic_offer	musica	Mi fai compagnia mentre sistemo casa?
gd1_001	4	F01_phatic	it	answer	1	preference	jazz	Partiamo dalla musica: jazz o elettronica?
gd1_001	5	F01_phatic	it	repair	1	self_correction	jazz	Anzi no, intendevo jazz o classica.
gd1_001	6	F01_phatic	it	continue	1	soft_close	filo	Ok, teniamo il filo e ne riparliamo dopo.
gd1_002	1	F01_phatic	en	ack	0	casual_open	hello	Hey there, you around?
gd1_002	2	F01_phatic	en	continue	0	weather_smalltalk	rain	Rainy afternoon, but I'm in a decent mood.
gd1_002	3	F01_phatic	en	continue	1	light_humor	coffee	My coffee is doing most of the thinking today.
gd1_002	4	F01_phatic	en	answer	1	opinion_request	coffee	Is that a terrible productivity strategy?
gd1_002	5	F01_phatic	en	continue	1	callback	rain	Anyway, back to the rainy-day vibe.
gd1_002	6	F01_phatic	en	ack	0	close	bye	Catch you later.
gd1_003	1	F01_phatic	it	ack	0	greeting	buonasera	Buonasera!
gd1_003	2	F01_phatic	it	continue	0	no_topic	argomento	Non so bene di cosa parlare.
gd1_003	3	F01_phatic	it	continue	1	scaffold	curiosita	Proponimi tu due piste, ma niente interrogatorio.
gd1_003	4	F01_phatic	it	answer	1	choice	spazio_cucina	Tra spazio e cucina scelgo cucina.
gd1_003	5	F01_phatic	it	continue	1	elliptic_followup	cucina	E qualcosa di semplice?
gd1_003	6	F01_phatic	it	ack	0	thanks	grazie	Perfetto, grazie della chiacchiera.
gd1_004	1	F01_phatic	en	ack	0	greeting	yo	Yo, how's it going?
gd1_004	2	F01_phatic	en	continue	0	playful	monday	Monday tried its best; I survived.
gd1_004	3	F01_phatic	en	continue	1	banter	calendar	My calendar deserves a stern talking-to.
gd1_004	4	F01_phatic	en	answer	1	invitation	break	Can we take a two-minute mental break?
gd1_004	5	F01_phatic	en	continue	1	topic_shift	books	Let's switch to books for a moment.
gd1_004	6	F01_phatic	en	ack	0	soft_close	work	Nice, now I can get back to work.
gd1_005	1	F01_phatic	it	ack	0	warm_open	ciao	Ciao, passo solo per un saluto.
gd1_005	2	F01_phatic	it	continue	0	brief_constraint	breve	Oggi ho poco tempo, restiamo brevi.
gd1_005	3	F01_phatic	it	answer	1	memory_check	breve	Che vincolo ti ho appena dato?
gd1_005	4	F01_phatic	it	continue	1	mild_humor	riunione	La prossima riunione mi aspetta al varco.
gd1_005	5	F01_phatic	it	ack	0	encouragement	forza	Va bene, forza e coraggio.
gd1_005	6	F01_phatic	it	ack	0	farewell	a_presto	A presto.
gd1_006	1	F02_slang_register	it	ack	0	slang_greeting	bella	Bella, tutto a posto?
gd1_006	2	F02_slang_register	it	ack	0	agreement	ci_sta	Ci sta.
